source_concept_id,original_source_concept_id,type,Reference FSN,Mapping relationship,Reference code system,Reference code,source_concept_name,CIEL concept_id
435,435,Misc,Ophthalmic route (qualifier value),NARROWER-THAN,SNOMED-CT,54485002,Left eye administration,162388
436,436,Misc,Otic route (qualifier value),NARROWER-THAN,SNOMED-CT,10547007,Bilateral ear administration,162387
437,437,Misc,Otic route (qualifier value),NARROWER-THAN,SNOMED-CT,10547007,Right ear administration,162386
438,438,Misc,Otic route (qualifier value),NARROWER-THAN,SNOMED-CT,10547007,Left ear administration,162385
439,439,ConvSet,Unit dose (qualifier value),SAME-AS,SNOMED-CT,408102007,Dosing unit,162384
440,440,Units of Measure,Wafer biscuit (substance),SAME-AS,SNOMED-CT,226557000,Biscuit wafer,162383
441,441,Units of Measure,Vial - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,415818006,Vial,162382
442,442,Units of Measure,Unit (qualifier value),SAME-AS,SNOMED-CT,258666001,Unit,162381
443,443,Units of Measure,Tube - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,418530008,Tube,162380
444,444,Units of Measure,Teaspoonful - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,415703001,Teaspoon,162379
445,445,Units of Measure,Tablespoonful - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,415702006,Tablespoon,162378
446,446,Units of Measure,"Syringe, device (physical object)",SAME-AS,SNOMED-CT,61968008,Syringe,162377
447,447,Units of Measure,Application - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,413568008,Application,162376
448,448,Units of Measure,Spray - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,419694003,Spray,162375
449,449,Units of Measure,Scoop - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,415505006,Scoopful,162374
450,450,Units of Measure,Ring pessary (physical object),SAME-AS,SNOMED-CT,336782009,Ring pessary,162373
451,451,Units of Measure,Puff - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,415215001,Puff,162372
452,452,Units of Measure,pint (qualifier value),SAME-AS,SNOMED-CT,282119004,Pint,162371
453,453,Units of Measure,Patch - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,419702001,Patch,162370
454,454,Units of Measure,Pad - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,421823004,Pad,162369
455,455,Units of Measure,Nebulizer (physical object),NARROWER-THAN,SNOMED-CT,334947002,Nebulizer,162368
456,456,Units of Measure,Million unit (qualifier value),SAME-AS,SNOMED-CT,396186001,Million units,162367
457,457,Units of Measure,microgram (qualifier value),SAME-AS,SNOMED-CT,258685003,Microgram,162366
458,458,Units of Measure,milliequivalent (qualifier value),SAME-AS,SNOMED-CT,258727004,Milliequivalent,162364
459,459,Units of Measure,Lozenge - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,429587008,Lozenge,162363
460,460,Units of Measure,kilogram (qualifier value),SAME-AS,SNOMED-CT,258683005,Kilogram,162362
461,461,Units of Measure,Inch (qualifier value),SAME-AS,SNOMED-CT,258677007,Inch,162361
462,462,Units of Measure,Gum - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,430281005,Gum,162360
463,463,Units of Measure,gallon (qualifier value),SAME-AS,SNOMED-CT,282120005,Gallon,162359
464,464,Units of Measure,fluid ounce (qualifier value),SAME-AS,SNOMED-CT,282118007,Fluid ounce,162358
465,465,Units of Measure,Enema (qualifier value),SAME-AS,SNOMED-CT,385186005,Enema,162357
466,466,Units of Measure,Drop - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,404218003,Drop,162356
467,467,Units of Measure,Unit of drug administration (qualifier value),NARROWER-THAN,SNOMED-CT,408103002,Container,162355
468,468,Units of Measure,Can - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,429308001,Can,162354
469,469,Units of Measure,Bar - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,428003006,Bar,162351
470,470,Units of Measure,Ampule - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,413516001,Ampule(s),162335
471,471,Misc,international unit (qualifier value),SAME-AS,SNOMED-CT,258997004,International units,162264
472,472,Units of Measure,Milliliter (qualifier value),SAME-AS,SNOMED-CT,258773002,Milliliter,162263
473,473,Units of Measure,Liter (qualifier value),SAME-AS,SNOMED-CT,258770004,Liter,162262
474,474,Units of Measure,gram (qualifier value),SAME-AS,SNOMED-CT,258682000,Gram,161554
475,475,Units of Measure,milligram (qualifier value),SAME-AS,SNOMED-CT,258684004,Milligram,161553
476,476,Misc,Nasal route (qualifier value),SAME-AS,SNOMED-CT,46713006,Nasal administration,161253
477,477,Misc,Capsule - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,428641000,Capsule,1608
478,478,Misc,Subcutaneous route (qualifier value),SAME-AS,SNOMED-CT,34206005,Subcutaneous administration,160245
479,479,Misc,Intramuscular route (qualifier value),SAME-AS,SNOMED-CT,78421000,Intramuscular administration,160243
480,480,Misc,Intravenous route (qualifier value),SAME-AS,SNOMED-CT,47625008,Intravenous administration,160242
481,481,Misc,Respiratory tract route (qualifier value),SAME-AS,SNOMED-CT,447694001,Inhaled administration,160241
482,482,Misc,Oral route (qualifier value),SAME-AS,SNOMED-CT,26643006,Oral administration,160240
483,483,Units of Measure,Suppository (basic dose form),SAME-AS,SNOMED-CT,385194003,Suppository,1518
484,484,Misc,Packet - unit of product usage (qualifier value),SAME-AS,SNOMED-CT,419888008,Packets,1514
485,485,Misc,Tablet (basic dose form),SAME-AS,SNOMED-CT,385055001,Tablet,1513
486,486,Units of Measure,Drop - unit of product usage (qualifier value),NARROWER-THAN,SNOMED-CT,404218003,Metric drop,162365
488,488,Misc,Fatal (qualifier value),SAME-AS,SNOMED-CT,399166001,Fatal,162819
489,489,Question,Symptom severity level (observable entity),NARROWER-THAN,SNOMED-CT,405162009,Severity of adverse reaction,162760
490,490,Misc,Life threatening severity (qualifier value),SAME-AS,SNOMED-CT,442452003,Life threatening severity,162693
491,491,Finding,Severe (severity modifier) (qualifier value),SAME-AS,SNOMED-CT,24484000,Severe,1500
492,492,Finding,Mild (qualifier value),SAME-AS,SNOMED-CT,255604002,Mild,1498
493,493,Diagnosis,Cough (finding),SAME-AS,SNOMED-CT,49727002,Cough,143264
494,494,Diagnosis,Diarrhea (finding),SAME-AS,SNOMED-CT,62315008,Diarrhea,142412
495,495,Diagnosis,Allergy to drug (finding),SAME-AS,SNOMED-CT,416098002,Drug allergy,141760
496,496,Finding,Fever (finding),SAME-AS,SNOMED-CT,386661006,Fever,140238
497,497,Diagnosis,Flushing (disorder),SAME-AS,SNOMED-CT,238810007,Flushing,140039
498,498,Diagnosis,Gastrointestinal disorder due to food allergy (disorder),SAME-AS,SNOMED-CT,416389007,Gastrointestinal Food Allergy,139584
499,499,Diagnosis,Gastrointestinal irritation (finding),SAME-AS,SNOMED-CT,95516005,Gastrointestinal Irritation,139581
500,500,Drug,Caffeine,SAME-AS,RxNORM,1886,Caffeine,72609
501,501,Diagnosis,Headache (finding),SAME-AS,SNOMED-CT,25064002,Headache,139084
502,502,Drug,Acetylsalicylate sodium,SAME-AS,RxNORM,1191,Acetylsalicylate sodium,71617
503,503,Symptom/Finding,Eruption of skin (disorder),SAME-AS,SNOMED-CT,271807003,Rash,512
504,504,Diagnosis,Itching (finding),SAME-AS,SNOMED-CT,418290006,Itching,136455
510,510,Misc,Milk protein (substance),SAME-AS,SNOMED-CT,10827009,Milk protein,162547
511,511,Misc,Fish (organism),SAME-AS,SNOMED-CT,90580008,Fish,162546
512,512,Misc,Dairy food (substance),SAME-AS,SNOMED-CT,226760005,Dairy products,162545
513,513,Misc,Chocolate (substance),SAME-AS,SNOMED-CT,102262009,Chocolate,162544
514,514,Misc,Beef (substance),SAME-AS,SNOMED-CT,226916002,Beef,162543
515,515,Misc,"Adhesive tape, device (physical object)",SAME-AS,SNOMED-CT,84756000,Adhesive tape,162542
517,517,Misc,Pollen (substance),SAME-AS,SNOMED-CT,256259004,Pollen,162540
518,518,Misc,Mold (organism),SAME-AS,SNOMED-CT,84489001,Mold,162539
519,519,Misc,Latex (substance),SAME-AS,SNOMED-CT,111088007,Latex,162538
520,520,Misc,Dust (substance),SAME-AS,SNOMED-CT,33008008,Dust,162537
521,521,Misc,Bee venom,SAME-AS,RxNORM,124427,Bee venom,77561
525,525,Pharmacologic Drug Class,Product containing angiotensin II receptor antagonist (product),SAME-AS,SNOMED-CT,96308008,Angiotensin II receptor blockers,162299
526,526,Pharmacologic Drug Class,Product containing angiotensin-converting enzyme inhibitor (product),SAME-AS,SNOMED-CT,41549009,Angiotensin-converting enzyme inhibitors drug class,162298
528,528,Misc,Wheat (substance),SAME-AS,SNOMED-CT,412071004,Wheat,162177
530,530,Misc,Shellfish - dietary (substance),SAME-AS,SNOMED-CT,227146005,Shellfish (dietary),162175
531,531,Misc,Peanut - dietary (substance),SAME-AS,SNOMED-CT,256349002,Peanuts,162172
532,532,Misc,Eggs (edible) (substance),SAME-AS,SNOMED-CT,102263004,Eggs (edible),162171
533,533,Question,No known allergies (situation),SAME-AS,SNOMED-CT,160244002,No known allergies,160557
534,534,Misc,No known drug allergy (situation),SAME-AS,SNOMED-CT,409137002,No known drug allergies,160556
535,535,Diagnosis,Musculoskeletal pain (finding),SAME-AS,SNOMED-CT,279069000,Musculoskeletal pain,159347
536,536,Diagnosis,Toxic liver disease (disorder),SAME-AS,SNOMED-CT,197354009,Toxic liver disease,159098
537,537,Diagnosis,Allergic condition (finding),NARROWER-THAN,SNOMED-CT,473011001,Allergy,121689
538,538,Diagnosis,Allergy to drug (finding),NARROWER-THAN,SNOMED-CT,416098002,Personal History of Allergy to Anti-Infective Agent,121684
539,539,Diagnosis,Altered mental status (finding),SAME-AS,SNOMED-CT,419284004,Altered Mental Status,121677
540,540,Diagnosis,Anemia (disorder),SAME-AS,SNOMED-CT,271737000,Anaemia,121629
541,541,Finding,Muscle pain (finding),SAME-AS,SNOMED-CT,68962001,Myalgia,121
542,542,Diagnosis,Allergy to drug (finding),NARROWER-THAN,SNOMED-CT,416098002,calcium channel blocker allergy,155382
543,543,Diagnosis,Allergy to sufentanil (finding),SAME-AS,SNOMED-CT,441955007,allergy to sufentanil,155045
544,544,Diagnosis,Allergy to sevoflurane (finding),SAME-AS,SNOMED-CT,441954006,allergy to sevoflurane,155044
545,545,Diagnosis,Allergy to remifentanil (finding),SAME-AS,SNOMED-CT,441992007,allergy to remifentanil,155043
546,546,Diagnosis,Allergy to meropenem (finding),SAME-AS,SNOMED-CT,442022002,allergy to meropenem,155042
547,547,Diagnosis,Allergy to imipenem (finding),SAME-AS,SNOMED-CT,442408006,allergy to imipenem,155041
548,548,Diagnosis,Allergy to egg protein (finding),SAME-AS,SNOMED-CT,213020009,allergy to egg protein,155039
549,549,Diagnosis,Allergy to chloroprocaine (finding),SAME-AS,SNOMED-CT,441931002,allergy to chloroprocaine,155037
550,550,Diagnosis,Cardiac arrhythmia (disorder),SAME-AS,SNOMED-CT,698247007,Cardiac Dysrhythmia,120148
551,551,Diagnosis,History of non-drug allergy (situation),NARROWER-THAN,SNOMED-CT,161611007,History of Allergy to Milk Products,119779
552,552,Diagnosis,Allergy to drug (finding),NARROWER-THAN,SNOMED-CT,416098002,4-quinolones allergy,154386
553,553,Diagnosis,Dystonia (disorder),SAME-AS,SNOMED-CT,15802004,Dystonia,118773
554,554,Diagnosis,Allergy to Hevea brasiliensis latex protein (finding),NARROWER-THAN,SNOMED-CT,1003755004,Allergy to Latex,116367
555,555,Diagnosis,Allergy to insect protein (finding),SAME-AS,SNOMED-CT,716187007,Allergy to Insects,149084
556,556,Diagnosis,Allergy to spider venom (finding),SAME-AS,SNOMED-CT,427487000,Allergy to Spiders,149083
557,557,Diagnosis,Allergy to seafood (finding),SAME-AS,SNOMED-CT,91937001,Allergy to Seafood,149070
558,558,Diagnosis,Allergy to sulfonamide (finding),NARROWER-THAN,SNOMED-CT,91939003,Personal History of Allergy to Sulfonamides,149069
559,559,Diagnosis,Anaphylaxis (disorder),SAME-AS,SNOMED-CT,39579001,Anaphylaxis,148888
560,560,Diagnosis,Angioedema (disorder),SAME-AS,SNOMED-CT,41291007,Angioedema,148787
561,561,Diagnosis,Wheal (finding),SAME-AS,SNOMED-CT,247472004,Wheal,111061
562,562,Symptom,Bronchospasm (finding),SAME-AS,SNOMED-CT,4386001,Bronchospasm,108
565,565,Diagnosis,Allergy to wheat (finding),SAME-AS,SNOMED-CT,420174000,allergy to wheat,155046
566,566,Diagnosis,Allergy to dust mite protein (finding),SAME-AS,SNOMED-CT,232350006,house dust mite allergy,156681
568,568,Diagnosis,Allergy to erythromycin (finding),SAME-AS,SNOMED-CT,91931000,erythromycin allergy,156171
569,569,Diagnosis,Allergy to heparin (finding),SAME-AS,SNOMED-CT,294872001,heparin allergy,156587
570,570,Diagnosis,Allergic disposition (finding),NARROWER-THAN,SNOMED-CT,609328004,sulfite allergy,153435
571.1,571,Diagnosis,Allergy to food (finding),NARROWER-THAN,SNOMED-CT,414285001,allergy to dairy product,155038
571.2,571,Diagnosis,Allergy to animal protein (finding),NARROWER-THAN,SNOMED-CT,717234006,allergy to dairy product,155038
572,572,Diagnosis,History of disorder (situation),NARROWER-THAN,SNOMED-CT,312850006,Personal History of Analgesic Agent Allergy,148826
573,573,Diagnosis,Allergy to 5-hydroxytryptamine-3-receptor antagonist (finding),SAME-AS,SNOMED-CT,293676007,5-hydroxytryptamine-3 receptor antagonist allergy,154389
574,574,Diagnosis,Allergy to tomato (finding),SAME-AS,SNOMED-CT,418779002,Allergy to Tomatoes,153358
575,575,Diagnosis,Allergy to drug (finding),NARROWER-THAN,SNOMED-CT,416098002,Personal History of Allergy to Unspecified Medicinal Agent,151292
576,576,Diagnosis,Allergy to ertapenem (finding),SAME-AS,SNOMED-CT,441725009,allergy to ertapenem,155040
577,577,Diagnosis,Allergy to animal protein (finding),SAME-AS,SNOMED-CT,717234006,Dander (Animal) Allergy,142943
578,578,Diagnosis,Allergy to penicillin (finding),SAME-AS,SNOMED-CT,91936005,Allergy to penicillin,149071
579,579,Diagnosis,Allergy to insect protein (finding),NARROWER-THAN,SNOMED-CT,716187007,Allergy to Insect Bites,149085
580,580,Diagnosis,Allergy to contrast media (finding),NARROWER-THAN,SNOMED-CT,293637006,Contrast Media Allergy,143476
581,581,Diagnosis,Allergy to peanut (finding),SAME-AS,SNOMED-CT,91935009,Allergy to Peanuts,149072
582,582,Diagnosis,Allergic condition (finding),NARROWER-THAN,SNOMED-CT,473011001,"Allergy, Unspecified",121689
583,583,Diagnosis,Allergy to food (finding),SAME-AS,SNOMED-CT,414285001,Food Allergy,139994
584,584,Diagnosis,Allergy to Felis catus protein (finding),SAME-AS,SNOMED-CT,1208807009,Allergy to Cats,146113
585,585,Diagnosis,Allergy to almond (finding),SAME-AS,SNOMED-CT,712839001,allergy to almonds,155036
586,586,Diagnosis,History of disorder (situation),NARROWER-THAN,SNOMED-CT,312850006,Personal History of Allergy to Anesthetic Agent,148826
587,587,Diagnosis,Allergy to naproxen (finding),SAME-AS,SNOMED-CT,293625009,naproxen allergy,157885
588,588,Diagnosis,Allergy to food (finding),NARROWER-THAN,SNOMED-CT,414285001,Allergic to Other Foods,139207
589,589,Diagnosis,Allergy to egg protein (finding),NARROWER-THAN,SNOMED-CT,213020009,Allergy to Eggs,149074
590,590,Diagnosis,Allergy to animal protein (finding),NARROWER-THAN,SNOMED-CT,717234006,Laboratory Animal Dander Allergy,136203
591,591,Diagnosis,Allergy-sensitivity to fungi syndrome (disorder),SAME-AS,SNOMED-CT,30668009,Allergy-Sensitivity to Fungi Syndrome,121682
592,592,Diagnosis,Allergy to Canis lupus subspecies familiaris protein (finding),NARROWER-THAN,SNOMED-CT,1208808004,Allergy to Dog,110178
593,593,Diagnosis,History of disorder (situation),NARROWER-THAN,SNOMED-CT,312850006,History of Allergy,110247
594.1,594,Diagnosis,Photosensitivity (finding),NARROWER-THAN,SNOMED-CT,90128006,Photoallergy,114159
594.2,594,Diagnosis,Allergic disposition (finding),NARROWER-THAN,SNOMED-CT,609328004,Photoallergy,114159
595,595,Diagnosis,Allergy to bee venom (finding),SAME-AS,SNOMED-CT,424213003,Hymenoptera Allergy,111178
596.1,596,Diagnosis,History of food allergy (situation),NARROWER-THAN,SNOMED-CT,762616007,Personal History of Allergy to Shellfish,112990
596.2,596,Diagnosis,History of non-drug allergy (situation),NARROWER-THAN,SNOMED-CT,161611007,Personal History of Allergy to Shellfish,112990
597,597,Drug,Morphine,SAME-AS,RxNORM,7052,Morphine,80106
598,598,Drug,Codeine,SAME-AS,RxNORM,2670,Codeine,73667
599,599,Frequency,Frequencies (qualifier value),NARROWER-THAN,SNOMED-CT,272123002,Non-coded frequency,162257
600,600,Frequency,"Three times a week on Monday, Wednesday and Friday (qualifier value)",SAME-AS,SNOMED-CT,444763000,"Every Monday, Wednesday and Friday",162256
601,601,Frequency,Every seventy two hours (qualifier value),SAME-AS,SNOMED-CT,396143001,Every seventy-two hours,162255
602,602,Frequency,Every thirty six hours (qualifier value),SAME-AS,SNOMED-CT,396126004,Every thirty-six hours,162254
603,603,Frequency,Every twenty four hours (qualifier value),SAME-AS,SNOMED-CT,396125000,Every forty-eight hours,162253
604,604,Frequency,Every twenty four hours (qualifier value),SAME-AS,SNOMED-CT,396125000,Every twenty-four hours,162252
605,605,Frequency,Every twelve hours (qualifier value),SAME-AS,SNOMED-CT,307470009,Every twelve hours,162251
606,606,Frequency,Every eight hours (qualifier value),SAME-AS,SNOMED-CT,307469008,Every eight hours,162250
607,607,Frequency,Every six hours (qualifier value),SAME-AS,SNOMED-CT,307468000,Every six hours,162249
608,608,Frequency,Every five hours (qualifier value),SAME-AS,SNOMED-CT,396137003,Every five hours,162248
609,609,Frequency,Every four hours (qualifier value),SAME-AS,SNOMED-CT,225756002,Every four hours,162247
610,610,Frequency,Every three hours (qualifier value),SAME-AS,SNOMED-CT,225753005,Every three hours,162246
611,611,Frequency,Every two hours (qualifier value),SAME-AS,SNOMED-CT,225750008,Every two hours,162245
612,612,Frequency,Hourly (qualifier value),SAME-AS,SNOMED-CT,225768006,Every hour,162244
613,613,Frequency,Every thirty minutes (qualifier value),SAME-AS,SNOMED-CT,225767001,Every 30 min,162243
614,614,Frequency,Single event (qualifier value),SAME-AS,SNOMED-CT,307486002,One time,162135
615,615,Frequency,Four times daily before meals and at bedtime (qualifier value),SAME-AS,SNOMED-CT,420660006,"Four times daily, before meals and at bedtime",160872
616,616,Frequency,Four times daily after meals and at bedtime (qualifier value),SAME-AS,SNOMED-CT,421969000,"Four times daily, after meals and at bedtime",160871
617,617,Frequency,Four times daily (qualifier value),SAME-AS,SNOMED-CT,307439001,Four times daily,160870
618,618,Frequency,"Three times a day, with meals (qualifier value)",SAME-AS,SNOMED-CT,396146009,"Thrice daily, with meals",160869
619,619,Frequency,"Three times a day, before meals (qualifier value)",SAME-AS,SNOMED-CT,396145008,"Thrice daily, before meals",160868
620,620,Frequency,Three times daily after meals (qualifier value),SAME-AS,SNOMED-CT,421409007,"Thrice daily, after meals",160867
621,621,Frequency,Three times daily (qualifier value),SAME-AS,SNOMED-CT,229798009,Thrice daily,160866
622,622,Frequency,Once daily (qualifier value),NARROWER-THAN,SNOMED-CT,229797004,"Once daily, in the morning",160865
623,623,Frequency,"Once a day, in the evening (qualifier value)",SAME-AS,SNOMED-CT,396147000,"Once daily, in the evening",160864
624,624,Frequency,"Once a day, at bedtime (qualifier value)",SAME-AS,SNOMED-CT,396142006,"Once daily, at bedtime",160863
625,625,Frequency,Once daily (qualifier value),SAME-AS,SNOMED-CT,229797004,Once daily,160862
626,626,Frequency,Twice a day with meals (qualifier value),SAME-AS,SNOMED-CT,421589008,Twice daily with meals,160861
627,627,Frequency,Twice a day after meals (qualifier value),SAME-AS,SNOMED-CT,421331003,Twice daily after meals,160860
628,628,Frequency,Twice a day before meals (qualifier value),SAME-AS,SNOMED-CT,422231003,Twice daily before meals,160859
629,629,Frequency,Twice a day (qualifier value),SAME-AS,SNOMED-CT,229799001,Twice daily,160858
630,630,Frequency,Weekly (qualifier value),SAME-AS,SNOMED-CT,14497002,Weekly,1099
631,631,Frequency,Monthly (qualifier value),SAME-AS,SNOMED-CT,89185003,Monthly,1098
632,632,Question,Cause of death (observable entity),SAME-AS,SNOMED-CT,184305005,Cause of death,1599
633,633,Diagnosis,Traumatic injury (disorder),SAME-AS,SNOMED-CT,417746004,Traumatic injury,124193
634,634,Diagnosis,Infectious disease (disorder),SAME-AS,SNOMED-CT,40733004,Infectious Disease,151673
635,635,Question,Cause of death (observable entity),NARROWER-THAN,SNOMED-CT,184305005,Probable cause of death (text),160218
636,636,Diagnosis,Human immunodeficiency virus infection (disorder),NARROWER-THAN,SNOMED-CT,86406008,Human immunodeficiency virus (HIV) disease,138405
637,637,Procedure,Administration of prophylactic drug or medicament (procedure),NARROWER-THAN,SNOMED-CT,182929008,PMTCT,1148
638,638,Procedure,Pre-exposure prophylaxis (procedure),SAME-AS,SNOMED-CT,1137457009,Pre-exposure prophylaxis (PrEP),166536
639,639,Misc,Provider-specific procedure (procedure),NARROWER-THAN,SNOMED-CT,127777001,Clinical Consult,167410
641,641,Misc,Patient care statuses (finding),NARROWER-THAN,SNOMED-CT,305060004,Finished Service,167409
642,642,Misc,Patient care statuses (finding),NARROWER-THAN,SNOMED-CT,305060004,In Service,167408
643.1,643,Misc,Patient care statuses (finding),NARROWER-THAN,SNOMED-CT,305060004,Waiting,167407
643.2,643,Misc,Patient waiting for (contextual qualifier) (qualifier value),NARROWER-THAN,SNOMED-CT,103327009,Waiting,167407
645,645,Misc,Triage (procedure),NARROWER-THAN,SNOMED-CT,225390008,Triage,167411
648,648,Misc,Urgent (qualifier value),SAME-AS,SNOMED-CT,103391001,Urgent,1883
649,649,Misc,Emergency (qualifier value),SAME-AS,SNOMED-CT,25876001,Emergency,1882
650,650,Diagnosis,Drug interaction (finding),SAME-AS,SNOMED-CT,79899007,Drug Interaction (Properly Prescribed and Administered),141748
651,651,Misc,Patient unavailable (finding),Associated finding,SNOMED-CT,398090008,Patient currently unavailable,1899
652,652,Question,Inpatient stay (finding),NARROWER-THAN,SNOMED-CT,308540004,Patient currently inpatient at facility,1896
653,653,Question,Drug not available - out of stock (finding),SAME-AS,SNOMED-CT,182856006,Medications unavailable,1754
657,657,Finding,Intolerance to drug (finding),NARROWER-THAN,SNOMED-CT,59037007,Suspected intolerance to drug,168096
658,658,Misc,Drugs not issued (finding),NARROWER-THAN,SNOMED-CT,182850000,Duplicate therapy,168095
659,659,Finding,Pregnancy (finding),NARROWER-THAN,SNOMED-CT,77386006,Mother pregnant or currently breastfeeding,168094
660,660,Misc,Drugs not issued (finding),NARROWER-THAN,SNOMED-CT,182850000,Drug would interfere with upcoming laboratory testing,168093
661,661,Finding,Drugs not issued (finding),NARROWER-THAN,SNOMED-CT,182850000,Drug level too high to continue treatment,168092
662,662,Misc,Drugs not issued (finding),NARROWER-THAN,SNOMED-CT,182850000,Prescription/request requires clarification,168091
663,663,Misc,Drugs not issued (finding),NARROWER-THAN,SNOMED-CT,182850000,Try another treatment first,168090
664,664,Misc,Drugs not issued (finding),NARROWER-THAN,SNOMED-CT,182850000,Unable to provide necessary care,168089
665,665,Misc,Drugs not issued (finding),NARROWER-THAN,SNOMED-CT,182850000,Religious/ethical objection,168088
666,666,Misc,Insufficient (qualifier value),NARROWER-THAN,SNOMED-CT,423437008,Incomplete data,168087
668,668,Misc,Discontinued (qualifier value),NARROWER-THAN,SNOMED-CT,410546004,Order discontinued,168085
681,681,Misc,Supplies not available (finding),SAME-AS,SNOMED-CT,419182006,Supplies not available,165183
682,682,Misc,Previous treatment continue (situation),SAME-AS,SNOMED-CT,266714009,Continue previous treatment,163057
683,683,ConvSet,Administrative statuses (finding),NARROWER-THAN,SNOMED-CT,307824009,Medication dispense status,167157
684,684,Misc,Declined (qualifier value),SAME-AS,SNOMED-CT,443390004,Refused,167156
685,685,Misc,Discontinued (qualifier value),SAME-AS,SNOMED-CT,410546004,Discontinued,167155
686,686,Misc,Procedure phase (qualifier value),NARROWER-THAN,SNOMED-CT,128954007,Preparation,167153
687,687,Misc,In progress (qualifier value),SAME-AS,SNOMED-CT,385651009,In progress,163723
688,688,Finding,Complete (qualifier value),SAME-AS,SNOMED-CT,255594003,Completed,1267
692,692,Misc,Night time (qualifier value),SAME-AS,SNOMED-CT,2546009,multiCheckbox,161018
694,694,Misc,Selective immunoglobulin G deficiency (disorder),SAME-AS,SNOMED-CT,190981001,select,126812
699,699,Misc,Annotation comment [Interpretation] Narrative,BROADER-THAN,LOINC,48767-8,Free text comment,161011
700,700,Question,Clinical history/examination observable (observable entity),NARROWER-THAN,SNOMED-CT,363788007,Admission to hospital decision,169408
701,701,Finding,Patient on waiting list (finding),SAME-AS,SNOMED-CT,270459005,Patient on waiting list,169407
702,702,Finding,Admission statuses (finding),NARROWER-THAN,SNOMED-CT,308277006,Admission denied,169406
704,704,Question,Procedure related observable (observable entity),NARROWER-THAN,SNOMED-CT,416342005,Internal transfer location (text/code),169404
705,705,Question,Procedure related observable (observable entity),NARROWER-THAN,SNOMED-CT,416342005,Admitted to location (text/code),169403
706,706,Question,Clinical history/examination observable (observable entity),NARROWER-THAN,SNOMED-CT,363788007,Inpatient patient disposition,169402
707,707,Procedure,Discharge from hospital (procedure),SAME-AS,SNOMED-CT,308283009,Discharge from hospital,169401
708,708,Procedure,Hospital admission (procedure),SAME-AS,SNOMED-CT,32485007,Admit to hospital,168619
709,709,Procedure,Internal facility referral or transfer,SAME-AS,LOINC,LA9328-1,Internal facility transfer/referral,167731
710,710,Finding,Clinical diagnosis (contextual qualifier) (qualifier value),NARROWER-THAN,SNOMED-CT,39154008,Clinical impression comment,159395
711,711,Question,Objective Narrative,SAME-AS,LOINC,61149-1,Objective Findings,167955
712,712,Question,Subjective Narrative,SAME-AS,LOINC,61150-9,Subjective Findings,167954
714,714,Question,Care plan (record artifact),NARROWER-THAN,SNOMED-CT,734163000,Plan,163104
715,715,Drug,Sulfadoxine and pyrimethamine,SAME-AS,RxNORM,203218,Sulfadoxine and pyrimethamine,924
716,716,Drug,Sulfadoxine,SAME-AS,RxNORM,10173,Sulfadoxine,84462
717,717,Drug,Heparinoids,SAME-AS,RxNORM,5228,Heparinoids,77419
718,718,Drug,Isoniazid / pyrazinamide / rifampin,SAME-AS,RxNORM,214662,Isoniazid / pyrazinamide / rifampin,768
719,719,Diagnosis,Multidermatomal infection caused by Herpes zoster co-occurrent with human immunodeficiency virus infection (disorder),SAME-AS,SNOMED-CT,713964006,"HIV staging - varicella, disseminated",5029
720,720,Drug,Condom (physical object),SAME-AS,SNOMED-CT,706506000,Condoms,190
721,721,Drug,Norplant (implantable contraceptive),SAME-AS,RxNORM,6373,Norplant (implantable contraceptive),1359
722,722,Drug,Subcutaneous contraceptive (product),SAME-AS,SNOMED-CT,169552007,Implantable contraceptive (unspecified type),159589
724,724,Drug,Pyrimethamine / sulfadoxine,SAME-AS,RxNORM,203218,Pyrimethamine / sulfadoxine,105232
725,725,Drug,Heparinoids / salicylic acid,SAME-AS,RxNORM,1008085,Heparinoids / salicylic acid,104813
726,726,Drug,Heparinoids / hyaluronidase,SAME-AS,RxNORM,1006904,Heparinoids / hyaluronidase,104811
728,728,Diagnosis,Chest dull to percussion (finding),SAME-AS,SNOMED-CT,39180009,Abnormal Dullness to Percussion of Chest,145712
729,729,Misc Order,Tobacco abuse prevention education (procedure),SAME-AS,SNOMED-CT,408939007,Tobacco use counseling,1455
730,730,Diagnosis,Chronic kidney disease (disorder),SAME-AS,SNOMED-CT,709044004,Chronic Kidney Disease,145438
731,731,Diagnosis,Fetal movements not observed (finding),SAME-AS,SNOMED-CT,289433006,No fetal movements,1452
